DeckId;DeckName;DeckNameWithoutSpaces;NameCard;Version;Column1
MP15;2015 Mega-Tin Mega Pack;2015-Mega-Tin-Mega-Pack;A Wild Monster Appears!;0;
SECE;Secrets of Eternity;Secrets-of-Eternity;A Wild Monster Appears!;0;
SECE-JP;Secrets of Eternity (OCG);Secrets-of-Eternity-(OCG);A Wild Monster Appears! (V.1 - Super Rare);1;Super Rare
SECE-JP;Secrets of Eternity (OCG);Secrets-of-Eternity-(OCG);A Wild Monster Appears! (V.2 - Secret Rare);2;Secret Rare
DB2;Dark Beginning 2;Dark-Beginning-2;A Wingbeat of Giant Dragon;0;
SDBE;Structure Deck: Saga of Blue-Eyes White Dragon;Structure-Deck:-Saga-of-Blue-Eyes-White-Dragon;A Wingbeat of Giant Dragon;0;
SDDC;Structure Deck: Dragons Collide;Structure-Deck:-Dragons-Collide;A Wingbeat of Giant Dragon;0;
SDRL;Structure Deck: Rise of the Dragon Lords;Structure-Deck:-Rise-of-the-Dragon-Lords;A Wingbeat of Giant Dragon;0;
SR02;Structure Deck: Rise of the True Dragons;Structure-Deck:-Rise-of-the-True-Dragons;A Wingbeat of Giant Dragon;0;
SR02-JP;Structure Deck R: Revival of the Great Divine Dragon;Structure-Deck-R:-Revival-of-the-Great-Divine-Dragon;A Wingbeat of Giant Dragon;0;
LOD;Legacy of Darkness;Legacy-of-Darkness;A Wingbeat of Giant Dragon (V.1 - Common);1;Common
LOD;Legacy of Darkness;Legacy-of-Darkness;A Wingbeat of Giant Dragon (V.2 - Common);2;Common
LIOV;Lightning Overdrive;Lightning-Overdrive;A.I. Challenge You;0;
LIOV-JP;Lightning Overdrive (OCG);Lightning-Overdrive-(OCG);A.I. Challenge You;0;
ETCO;Eternity Code;Eternity-Code;A.I. Contact;0;
ETCO-JP;Eternity Code (OCG);Eternity-Code-(OCG);A.I. Contact;0;
MP21;2021 Tin of Ancient Battles;2021-Tin-of-Ancient-Battles;A.I. Contact;0;
IGAS;Ignition Assault;Ignition-Assault;A.I. Love Fusion;0;
IGAS-JP;Ignition Assault (OCG);Ignition-Assault-(OCG);A.I. Love Fusion;0;
MP21;2021 Tin of Ancient Battles;2021-Tin-of-Ancient-Battles;A.I. Love Fusion;0;
LIOV;Lightning Overdrive;Lightning-Overdrive;A.I. Meet You;0;
LIOV-JP;Lightning Overdrive (OCG);Lightning-Overdrive-(OCG);A.I. Meet You;0;
MP22;2022 Tin of the Pharaoh's Gods;2022-Tin-of-the-Pharaoh's-Gods;A.I. Meet You;0;
IGAS;Ignition Assault;Ignition-Assault;A.I. Shadow;0;
IGAS-JP;Ignition Assault (OCG);Ignition-Assault-(OCG);A.I. Shadow;0;
MP21;2021 Tin of Ancient Battles;2021-Tin-of-Ancient-Battles;A.I. Shadow;0;
IGAS;Ignition Assault;Ignition-Assault;A.I.dle Reborn;0;
IGAS-JP;Ignition Assault (OCG);Ignition-Assault-(OCG);A.I.dle Reborn;0;
MP21;2021 Tin of Ancient Battles;2021-Tin-of-Ancient-Battles;A.I.dle Reborn;0;
ETCO;Eternity Code;Eternity-Code;A.I.Q;0;
ETCO-JP;Eternity Code (OCG);Eternity-Code-(OCG);A.I.Q;0;
MP21;2021 Tin of Ancient Battles;2021-Tin-of-Ancient-Battles;A.I.Q;0;
IGAS;Ignition Assault;Ignition-Assault;A.I.'s Ritual;0;
IGAS-JP;Ignition Assault (OCG);Ignition-Assault-(OCG);A.I.'s Ritual;0;
MP21;2021 Tin of Ancient Battles;2021-Tin-of-Ancient-Battles;A.I.'s Ritual;0;
BROL;Brothers of Legend;Brothers-of-Legend;A.I.'s Show;0;
AC01;Animation Chronicle 2021;Animation-Chronicle-2021;A.I.'s Show (V.1 - Common);1;Common
AC01;Animation Chronicle 2021;Animation-Chronicle-2021;A.I.'s Show (V.2 - Parallel Rare);2;Parallel Rare
BPW2;Battle Pack 2: War of the Giants - Round 2;Battle-Pack-2:-War-of-the-Giants---Round-2;A/D Changer;0;
DP10;Duelist Pack: Yusei Fudo 3;Duelist-Pack:-Yusei-Fudo-3;A/D Changer;0;
DREV;Duelist Revolution;Duelist-Revolution;A/D Changer;0;
WGRT;War of the Giants Reinforcements;War-of-the-Giants-Reinforcements;A/D Changer;0;
LCKC;Legendary Collection Kaiba Mega Pack;Legendary-Collection-Kaiba-Mega-Pack;A-Assault Core;0;
LVP3;LINK VRAINS Pack 3;LINK-VRAINS-Pack-3;A-Assault Core;0;
SDKS;Structure Deck: Seto Kaiba;Structure-Deck:-Seto-Kaiba;A-Assault Core;0;
SDKS-JP;Structure Deck: Seto Kaiba (OCG);Structure-Deck:-Seto-Kaiba-(OCG);A-Assault Core;0;
CDIP;Cyberdark Impact;Cyberdark-Impact;Abaki;0;
YSDS;Starter Deck: Syrus;Starter-Deck:-Syrus;Abaki;0;
DR3;Dark Revelation 3;Dark-Revelation-3;Abare Ushioni;0;
FET;Flaming Eternity;Flaming-Eternity;Abare Ushioni;0;
LCKC;Legendary Collection Kaiba Mega Pack;Legendary-Collection-Kaiba-Mega-Pack;ABC-Dragon Buster;0;
LVP3;LINK VRAINS Pack 3;LINK-VRAINS-Pack-3;ABC-Dragon Buster;0;
OP13;OTS Tournament Pack 13;OTS-Tournament-Pack-13;ABC-Dragon Buster;0;
SDKS;Structure Deck: Seto Kaiba;Structure-Deck:-Seto-Kaiba;ABC-Dragon Buster;0;
SDKS-JP;Structure Deck: Seto Kaiba (OCG);Structure-Deck:-Seto-Kaiba-(OCG);ABC-Dragon Buster;0;
CHIM;Chaos Impact;Chaos-Impact;Abominable Chamber of the Unchained;0;
CHIM-JP;Chaos Impact (OCG);Chaos-Impact-(OCG);Abominable Chamber of the Unchained;0;
MP20;2020 Tin of Lost Memories Mega Pack;2020-Tin-of-Lost-Memories-Mega-Pack;Abominable Chamber of the Unchained;0;
IGAS;Ignition Assault;Ignition-Assault;Abominable Unchained Soul;0;
IGAS-JP;Ignition Assault (OCG);Ignition-Assault-(OCG);Abominable Unchained Soul (V.1 - Super Rare);1;Super Rare
IGAS-JP;Ignition Assault (OCG);Ignition-Assault-(OCG);Abominable Unchained Soul (V.2 - Secret Rare);2;Secret Rare
IGAS-JP;Ignition Assault (OCG);Ignition-Assault-(OCG);Abominable Unchained Soul (V.3 - Special);3;Special
CHIM;Chaos Impact;Chaos-Impact;Abomination's Prison;0;
CHIM-JP;Chaos Impact (OCG);Chaos-Impact-(OCG);Abomination's Prison;0;
MP20;2020 Tin of Lost Memories Mega Pack;2020-Tin-of-Lost-Memories-Mega-Pack;Abomination's Prison;0;
GENF;Generation Force;Generation-Force;Absolute Crusader;0;
LEDD;Legendary Dragon Decks;Legendary-Dragon-Decks;Absolute Crusader;0;
DR3;Dark Revelation 3;Dark-Revelation-3;Absolute End;0;
SOD;Soul of the Duelist;Soul-of-the-Duelist;Absolute End;0;
PGL2;Premium Gold 2;Premium-Gold-2;Absolute King Back Jack;0;
SR06;Structure Deck: Lair of Darkness;Structure-Deck:-Lair-of-Darkness;Absolute King Back Jack;0;
SR06-JP;Structure Deck R: Curse of the Dark;Structure-Deck-R:-Curse-of-the-Dark;Absolute King Back Jack;0;
SR13;Structure Deck: Dark World;Structure-Deck:-Dark-World;Absolute King Back Jack;0;
SR13-JP;Structure Deck R: Devil's Gate;Structure-Deck-R:-Devil's-Gate;Absolute King Back Jack;0;
TAMA;Tactical Masters;Tactical-Masters;Absolute King Back Jack;0;
PP17;Premium Pack 17;Premium-Pack-17;Absolute King Back Jack (V.1 - Common);1;Common
PP17;Premium Pack 17;Premium-Pack-17;Absolute King Back Jack (V.2 - Secret Rare);2;Secret Rare
CORE;Clash of Rebellions;Clash-of-Rebellions;Absorb Fusion;0;
SPRG;Booster SP: Raging Masters;Booster-SP:-Raging-Masters;Absorb Fusion (V.1 - Common);1;Common
SPRG;Booster SP: Raging Masters;Booster-SP:-Raging-Masters;Absorb Fusion (V.2 - Parallel Rare);2;Parallel Rare
GAOV;Galactic Overlord;Galactic-Overlord;Absorbing Jar;0;
SBCB;Speed Duel: Battle City Box;Speed-Duel:-Battle-City-Box;Absorbing Jar;0;
AST;Ancient Sanctuary;Ancient-Sanctuary;Absorbing Kid from the Sky;0;
DR2;Dark Revelation 2;Dark-Revelation-2;Absorbing Kid from the Sky;0;
SD36;Structure Deck: Revolver;Structure-Deck:-Revolver;Absorouter Dragon;0;
SDRR;Structure Deck: Rokket Revolt;Structure-Deck:-Rokket-Revolt;Absorouter Dragon;0;
DP20;Duelist Pack: Legend Duelist 3;Duelist-Pack:-Legend-Duelist-3;Abyss Actor - Comic Relief;0;
LDS2;Legendary Duelists: Season 2;Legendary-Duelists:-Season-2;Abyss Actor - Comic Relief;0;
LED3;Legendary Duelists: White Dragon Abyss;Legendary-Duelists:-White-Dragon-Abyss;Abyss Actor - Comic Relief;0;
BLLR;Battles of Legend: Light's Revenge;Battles-of-Legend:-Light's-Revenge;Abyss Actor - Curtain Raiser;0;
CP17;Collectors Pack 2017;Collectors-Pack-2017;Abyss Actor - Curtain Raiser;0;
OP21;OTS Tournament Pack 21;OTS-Tournament-Pack-21;Abyss Actor - Curtain Raiser;0;
DESO;Destiny Soldiers;Destiny-Soldiers;Abyss Actor - Evil Heel;0;
SPDS;Booster SP: Destiny Soldiers;Booster-SP:-Destiny-Soldiers;Abyss Actor - Evil Heel (V.1 - Common);1;Common
SPDS;Booster SP: Destiny Soldiers;Booster-SP:-Destiny-Soldiers;Abyss Actor - Evil Heel (V.2 - Parallel Rare);2;Parallel Rare
DESO;Destiny Soldiers;Destiny-Soldiers;Abyss Actor - Extras;0;
LDS2;Legendary Duelists: Season 2;Legendary-Duelists:-Season-2;Abyss Actor - Extras;0;
LVP3;LINK VRAINS Pack 3;LINK-VRAINS-Pack-3;Abyss Actor - Extras;0;
SPDS;Booster SP: Destiny Soldiers;Booster-SP:-Destiny-Soldiers;Abyss Actor - Extras (V.1 - Common);1;Common
SPDS;Booster SP: Destiny Soldiers;Booster-SP:-Destiny-Soldiers;Abyss Actor - Extras (V.2 - Parallel Rare);2;Parallel Rare
DESO;Destiny Soldiers;Destiny-Soldiers;Abyss Actor - Funky Comedian;0;
SPDS;Booster SP: Destiny Soldiers;Booster-SP:-Destiny-Soldiers;Abyss Actor - Funky Comedian (V.1 - Common);1;Common
SPDS;Booster SP: Destiny Soldiers;Booster-SP:-Destiny-Soldiers;Abyss Actor - Funky Comedian (V.2 - Parallel Rare);2;Parallel Rare
DUOV;Duel Overload;Duel-Overload;Abyss Actor - Hyper Director;0;
LVP3;LINK VRAINS Pack 3;LINK-VRAINS-Pack-3;Abyss Actor - Hyper Director (V.1 - Super Rare);1;Super Rare
LVP3;LINK VRAINS Pack 3;LINK-VRAINS-Pack-3;Abyss Actor - Hyper Director (V.2 - Secret Rare);2;Secret Rare
DESO;Destiny Soldiers;Destiny-Soldiers;Abyss Actor - Leading Lady;0;
DP20;Duelist Pack: Legend Duelist 3;Duelist-Pack:-Legend-Duelist-3;Abyss Actor - Leading Lady;0;
LED3;Legendary Duelists: White Dragon Abyss;Legendary-Duelists:-White-Dragon-Abyss;Abyss Actor - Leading Lady;0;
SPDS;Booster SP: Destiny Soldiers;Booster-SP:-Destiny-Soldiers;Abyss Actor - Leading Lady;0;
PHHY;Photon Hypernova;Photon-Hypernova;Abyss Actor - Liberty Dramatist;0;
PHHY-JP;Photon Hypernova (OCG);Photon-Hypernova-(OCG);Abyss Actor - Liberty Dramatist;0;
DP20;Duelist Pack: Legend Duelist 3;Duelist-Pack:-Legend-Duelist-3;Abyss Actor - Mellow Madonna;0;
LDS2;Legendary Duelists: Season 2;Legendary-Duelists:-Season-2;Abyss Actor - Mellow Madonna;0;
LED3;Legendary Duelists: White Dragon Abyss;Legendary-Duelists:-White-Dragon-Abyss;Abyss Actor - Mellow Madonna;0;
DESO;Destiny Soldiers;Destiny-Soldiers;Abyss Actor - Sassy Rookie;0;
SPDS;Booster SP: Destiny Soldiers;Booster-SP:-Destiny-Soldiers;Abyss Actor - Sassy Rookie (V.1 - Common);1;Common
SPDS;Booster SP: Destiny Soldiers;Booster-SP:-Destiny-Soldiers;Abyss Actor - Sassy Rookie (V.2 - Parallel Rare);2;Parallel Rare
PHHY;Photon Hypernova;Photon-Hypernova;Abyss Actor - Super Producer;0;
PHHY-JP;Photon Hypernova (OCG);Photon-Hypernova-(OCG);Abyss Actor - Super Producer;0;
DESO;Destiny Soldiers;Destiny-Soldiers;Abyss Actor - Superstar;0;
DP20;Duelist Pack: Legend Duelist 3;Duelist-Pack:-Legend-Duelist-3;Abyss Actor - Superstar;0;
LED3;Legendary Duelists: White Dragon Abyss;Legendary-Duelists:-White-Dragon-Abyss;Abyss Actor - Superstar;0;
SPDS;Booster SP: Destiny Soldiers;Booster-SP:-Destiny-Soldiers;Abyss Actor - Superstar;0;
SUB1;Secret Utility Box;Secret-Utility-Box;Abyss Actor - Superstar;0;
COTD;Code of the Duelist;Code-of-the-Duelist;Abyss Actor - Trendy Understudy;0;
DP20;Duelist Pack: Legend Duelist 3;Duelist-Pack:-Legend-Duelist-3;Abyss Actor - Trendy Understudy;0;
LED3;Legendary Duelists: White Dragon Abyss;Legendary-Duelists:-White-Dragon-Abyss;Abyss Actor - Trendy Understudy;0;
MP18;2018 Mega-Tin Mega Pack;2018-Mega-Tin-Mega-Pack;Abyss Actor - Trendy Understudy;0;
VP16;20th Rival Collection;20th-Rival-Collection;Abyss Actor - Trendy Understudy;0;
DBLE;Dimension Box Limited Edition;Dimension-Box-Limited-Edition;Abyss Actor - Twinkle Little Star;0;
ROTD;Rise of the Duelist;Rise-of-the-Duelist;Abyss Actor - Twinkle Little Star;0;
DESO;Destiny Soldiers;Destiny-Soldiers;Abyss Actor - Wild Hope;0;
LDS2;Legendary Duelists: Season 2;Legendary-Duelists:-Season-2;Abyss Actor - Wild Hope;0;
LVP3;LINK VRAINS Pack 3;LINK-VRAINS-Pack-3;Abyss Actor - Wild Hope;0;
SPDS;Booster SP: Destiny Soldiers;Booster-SP:-Destiny-Soldiers;Abyss Actor - Wild Hope;0;
DESO;Destiny Soldiers;Destiny-Soldiers;Abyss Actors Back Stage;0;
DP20;Duelist Pack: Legend Duelist 3;Duelist-Pack:-Legend-Duelist-3;Abyss Actors Back Stage;0;
LED3;Legendary Duelists: White Dragon Abyss;Legendary-Duelists:-White-Dragon-Abyss;Abyss Actors Back Stage;0;
SPDS;Booster SP: Destiny Soldiers;Booster-SP:-Destiny-Soldiers;Abyss Actors Back Stage (V.1 - Common);1;Common
SPDS;Booster SP: Destiny Soldiers;Booster-SP:-Destiny-Soldiers;Abyss Actors Back Stage (V.2 - Parallel Rare);2;Parallel Rare
DP20;Duelist Pack: Legend Duelist 3;Duelist-Pack:-Legend-Duelist-3;Abyss Actors' Curtain Call;0;
LDS2;Legendary Duelists: Season 2;Legendary-Duelists:-Season-2;Abyss Actors' Curtain Call;0;
LED3;Legendary Duelists: White Dragon Abyss;Legendary-Duelists:-White-Dragon-Abyss;Abyss Actors' Curtain Call;0;
PHHY-JP;Photon Hypernova (OCG);Photon-Hypernova-(OCG);Abyss Actors' Dress Rehearsal (V.1 - Super Rare);1;Super Rare
PHHY-JP;Photon Hypernova (OCG);Photon-Hypernova-(OCG);Abyss Actors' Dress Rehearsal (V.2 - Secret Rare);2;Secret Rare
PHHY-JP;Photon Hypernova (OCG);Photon-Hypernova-(OCG);Abyss Actors' Dress Rehearsal (V.3 - Starlight Rare);3;Starlight Rare
PHHY;Photon Hypernova;Photon-Hypernova;Abyss Actors' Dress Rehersal;0;
ABYR;Abyss Rising;Abyss-Rising;Abyss Dweller;0;
DUDE;Duel Devastator;Duel-Devastator;Abyss Dweller;0;
OP13;OTS Tournament Pack 13;OTS-Tournament-Pack-13;Abyss Dweller;0;
OP20;OTS Tournament Pack 20;OTS-Tournament-Pack-20;Abyss Dweller;0;
PGL3;Premium Gold: Infinite Gold;Premium-Gold:-Infinite-Gold;Abyss Dweller;0;
THSF;The Secret Forces;The-Secret-Forces;Abyss Dweller;0;
RC03;Rarity Collection Premium Gold Edition;Rarity-Collection-Premium-Gold-Edition;Abyss Dweller (V.1 - Super Rare);1;Super Rare
RC03;Rarity Collection Premium Gold Edition;Rarity-Collection-Premium-Gold-Edition;Abyss Dweller (V.2 - Secret Rare);2;Secret Rare
RC03;Rarity Collection Premium Gold Edition;Rarity-Collection-Premium-Gold-Edition;Abyss Dweller (V.3 - Collectors Rare);3;Collectors Rare
BODE;Burst of Destiny;Burst-of-Destiny;Abyss Keeper;0;
MP22;2022 Tin of the Pharaoh's Gods;2022-Tin-of-the-Pharaoh's-Gods;Abyss Keeper;0;
WPP3;World Premiere Pack 2022;World-Premiere-Pack-2022;Abyss Keeper;0;
DP20;Duelist Pack: Legend Duelist 3;Duelist-Pack:-Legend-Duelist-3;Abyss Playhouse - Fantastic Theater;0;
LDS2;Legendary Duelists: Season 2;Legendary-Duelists:-Season-2;Abyss Playhouse - Fantastic Theater;0;
LED3;Legendary Duelists: White Dragon Abyss;Legendary-Duelists:-White-Dragon-Abyss;Abyss Playhouse - Fantastic Theater;0;
DESO;Destiny Soldiers;Destiny-Soldiers;Abyss Prop - Wild Wagon;0;
SPDS;Booster SP: Destiny Soldiers;Booster-SP:-Destiny-Soldiers;Abyss Prop - Wild Wagon (V.1 - Common);1;Common
SPDS;Booster SP: Destiny Soldiers;Booster-SP:-Destiny-Soldiers;Abyss Prop - Wild Wagon (V.2 - Parallel Rare);2;Parallel Rare
BLLR;Battles of Legend: Light's Revenge;Battles-of-Legend:-Light's-Revenge;Abyss Script - Abysstainment;0;
CP17;Collectors Pack 2017;Collectors-Pack-2017;Abyss Script - Abysstainment;0;
LVP3;LINK VRAINS Pack 3;LINK-VRAINS-Pack-3;Abyss Script - Abysstainment;0;
PHHY;Photon Hypernova;Photon-Hypernova;Abyss Script - Dramatic Story;0;
PHHY-JP;Photon Hypernova (OCG);Photon-Hypernova-(OCG);Abyss Script - Dramatic Story;0;
DESO;Destiny Soldiers;Destiny-Soldiers;Abyss Script - Fantasy Magic;0;
LVP3;LINK VRAINS Pack 3;LINK-VRAINS-Pack-3;Abyss Script - Fantasy Magic;0;
SPDS;Booster SP: Destiny Soldiers;Booster-SP:-Destiny-Soldiers;Abyss Script - Fantasy Magic (V.1 - Common);1;Common
SPDS;Booster SP: Destiny Soldiers;Booster-SP:-Destiny-Soldiers;Abyss Script - Fantasy Magic (V.2 - Parallel Rare);2;Parallel Rare
DESO;Destiny Soldiers;Destiny-Soldiers;Abyss Script - Fire Dragon's Lair;0;
SPDS;Booster SP: Destiny Soldiers;Booster-SP:-Destiny-Soldiers;Abyss Script - Fire Dragon's Lair (V.1 - Common);1;Common
SPDS;Booster SP: Destiny Soldiers;Booster-SP:-Destiny-Soldiers;Abyss Script - Fire Dragon's Lair (V.2 - Parallel Rare);2;Parallel Rare
DESO;Destiny Soldiers;Destiny-Soldiers;Abyss Script - Opening Ceremony;0;
DP20;Duelist Pack: Legend Duelist 3;Duelist-Pack:-Legend-Duelist-3;Abyss Script - Opening Ceremony;0;
LED3;Legendary Duelists: White Dragon Abyss;Legendary-Duelists:-White-Dragon-Abyss;Abyss Script - Opening Ceremony;0;
SPDS;Booster SP: Destiny Soldiers;Booster-SP:-Destiny-Soldiers;Abyss Script - Opening Ceremony (V.1 - Common);1;Common
SPDS;Booster SP: Destiny Soldiers;Booster-SP:-Destiny-Soldiers;Abyss Script - Opening Ceremony (V.2 - Parallel Rare);2;Parallel Rare
DESO;Destiny Soldiers;Destiny-Soldiers;Abyss Script - Rise of the Abyss King;0;
DP20;Duelist Pack: Legend Duelist 3;Duelist-Pack:-Legend-Duelist-3;Abyss Script - Rise of the Abyss King;0;
LED3;Legendary Duelists: White Dragon Abyss;Legendary-Duelists:-White-Dragon-Abyss;Abyss Script - Rise of the Abyss King;0;
SPDS;Booster SP: Destiny Soldiers;Booster-SP:-Destiny-Soldiers;Abyss Script - Rise of the Abyss King;0;
SUB1;Secret Utility Box;Secret-Utility-Box;Abyss Script - Rise of the Abyss King;0;
DP20;Duelist Pack: Legend Duelist 3;Duelist-Pack:-Legend-Duelist-3;Abyss Script - Romantic Terror;0;
LDS2;Legendary Duelists: Season 2;Legendary-Duelists:-Season-2;Abyss Script - Romantic Terror;0;
LED3;Legendary Duelists: White Dragon Abyss;Legendary-Duelists:-White-Dragon-Abyss;Abyss Script - Romantic Terror;0;
LED9;Legendary Duelists: Duels From the Deep;Legendary-Duelists:-Duels-From-the-Deep;Abyss Shark;0;
DP26;Duelist Pack: Duelists of the Abyss;Duelist-Pack:-Duelists-of-the-Abyss;Abyss Shark (V.1 - Super Rare);1;Super Rare
