DR3,A Feather of the Phoenix
LOD,A Feint Plan (V.2 - Common)
CP20,Afterglow
LOD,After the Struggle (V.2 - Rare)
MAMA,Agido the Ancient Sentinel
SOFU,Agave Dragon
MP19,Agave Dragon
DCR,Agido (V.1 - Common)
RGBT,Against the Wind
DP11,Against the Wind
DR1,Agido
WCS,"Aggiba, the Malevolent Sh'nn S'yo (V.1 - Special)"
OP20,Against the Wind
SOFU-JP,Agave Dragon
WCS,"Aggiba, the Malevolent Sh'nn S'yo (V.2 - Special)"
DCR,Agido (V.2 - Common)
DP27,Agido the Ancient Sentinel (V.2 - Secret Rare)
DP27,Agido the Ancient Sentinel (V.1 - Super Rare)
MAMA,A Hero Lives
SGX2,A Hero Lives (V.2 - Secret Rare)
LDS3,A Hero Lives
EGS1,"Ahrima, the Wicked Warden"
LED6,A Hero Lives
SR06,"Ahrima, the Wicked Warden"
SGX2,A Hero Lives (V.1 - Common)
SDHS,A Hero Lives
SGX1,A Hero Emerges
DP1,A Hero Emerges
GENF,A Hero Lives (V.1 - Ultra Rare)
DUSA,A Hero Lives
IOC,A Hero Emerges (V.1 - Common)
YS14,A Hero Emerges
GENF,A Hero Lives (V.2 - Ultimate Rare)
DR2,A Hero Emerges
BP02,A Hero Emerges (V.2 - Mosaic Rare)
IOC,A Hero Emerges (V.2 - Common)
DP23,A Hero Lives
20AP-2,A Hero Lives
MP22,A.I. Meet You
MAMA,Aileron
GEIM,"Aiwass, the Magistus Spell Spirit"
BROL,A.I.'s Show
LIOV,A.I. Meet You
MP21,A.I.dle Reborn
SR05,Airknight Parshath
MP21,A.I. Contact
IGAS,A.I.dle Reborn
LIOV,A.I. Challenge You
SBCB,Airknight Parshath (V.2 - Secret Rare)
ETCO,A.I. Contact
MP21,A.I. Shadow
MP21,A.I. Love Fusion
SBCB,Airknight Parshath (V.1 - Common)
IGAS,A.I. Shadow
MP21,A.I.Q
ORCS,Air Armor Ninja
IGAS,A.I.'s Ritual
ETCO,A.I.Q
SHVA,Akashic Magician
CIBR,Akashic Magician
TSHD,"Akz, the Pumer"
CIBR-JP,Akashic Magician (V.2 - Super Rare)
CIBR-JP,Akashic Magician (V.1 - Super Rare)
MP22,Albion the Branded Dragon
GFP2,Aluber the Jester of Despia
BROL,Allure of Darkness
MP22,Aluber the Jester of Despia
MAMA,A Legendary Ocean
DAMA,Albion the Shrouded Dragon
SDAZ,Albion the Branded Dragon
MP21,"Alpha, the Master of Beasts"
DIFO,Alghoul Mazera
DIFO,Alba-Lenatus the Abyss Dragon (V.1 - Secret Rare)
SDSH,Allure of Darkness
DUDE,Ally of Justice Catastor
AMDE,ALERT!
MP22,Allvain the Essence of Vanity
POTE,Albaz the Ashen
BACH,"Alice, Lady of Lament"
OP20,Aluber the Jester of Despia
DAMA,Aluber the Jester of Despia
BROL,Altergeist Pookuery
MP22,Albion the Shrouded Dragon
FIGA,Amorphage Goliath
BLCR,Amazoness Hot Spring
SHVI,Amorphage Goliath
BLCR,Amazoness Hall
DABL,Amazoness Spiritualist
DABL,Amazoness Augusta
DABL,Amazoness War Chief
DABL,Amazoness Golden Whip Master
DABL,Amazoness Pet Liger King
DABL,Amazoness Secret Arts
DABL,Amazoness Silver Sword Master
LDS1,Amazoness Princess
CIBR,Amano-Iwato
LIOV,Amazement Attendant Comica
POTE,Amaze Attraction Thrill Train
LDS1,Amazoness Onslaught
CIBR,Amazoness Empress
OP20,Amazoness Shamanism
LIOV,Amaze Attraction Horror House
CIBR,Amazoness Pet Liger
TAMA,Anti-Spell Fragrance (V.1 - Rare)
MAMA,Anti-Spell Fragrance
MP21,Animadorned Archosaur
LCKC,Ancient Fairy Dragon
MGED,Ancient Gear Fusion
CT06,Ancient Fairy Dragon
DUDE,Anti-Spell Fragrance
MAGO,Anti-Magic Arrows
ROTD,Ancient Warriors Oath - Double Dragon Lords
EGO1,Angel O1
OP20,Anchamoufrite
DIFO,Ancient Warriors Saga - Deception and Betrayal
DUOV,Ancient Gear Ballista
DIFO,Ancient Warriors - Savage Don Ying
SDCB,Ancient City - Rainbow Ruins
BLVO,Ancient Warriors - Rebellious Lu Feng
AC11,Ancient Fairy Dragon
MP22,Anchamoufrite
RATE,Ancient Gear Hunting Hound
SGX1,Ancient Gear Golem (V.2 - Secret Rare)
PHHY,Apophis the Swamp Deity
MAMA,"Apollousa, Bow of the Goddess"
OP14,Appointer of the Red Lotus
SDFC,Appointer of the Red Lotus
LDS3,Apprentice Illusion Magician (V.2 - Ultra Rare)
LDS3,Apprentice Illusion Magician (V.1 - Ultra Rare)
MAGO,"Apollousa, Bow of the Goddess"
LDS3,Apprentice Illusion Magician (V.3 - Ultra Rare)
BROL,Appliancer Propelion
BROL,Appliancer Conversion
MP22,Apex Predation
MP20,"Apollousa, Bow of the Goddess"
MVP1,Apple Magician Girl (V.1 - Ultra Rare)
LEDD,Apprentice Illusion Magician
MVP1,Apple Magician Girl (V.3 - Secret Rare)
SGX1,Apprentice Magician (V.2 - Secret Rare)
MYFI,Appropriate
BLAR,Appliancer Breakerbuncle
SR08,Apprentice Magician
BLAR,Appliancer Reuse
HA06,Aquamirror Illusion
SDFC,Aqua Spirit
DT06,Aquamirror Illusion
THSF,Aquamirror Cycle
GAOV,Aquamirror Cycle
HA05,Aquamirror Meditation
DRL2,Aquarium Stage
ORCS,Aqua Armor Ninja
DLCS,Aquarium Stage
DRL2,Aquarium Set
DRL2,Aquaactress Guppy
DRL2,Aquaactress Arowana
DRL2,Aquaactress Tetra
TAEV,Aquarian Alessa (V.1 - Super Rare)
LON,Aqua Spirit (V.1 - Common)
DRL2,Aqua Story - Urashima
SD8,Aqua Chorus
SDP,Aqua Madoor
DLCS,Aquarium Set
DB2,Aqua Spirit
PHHY,Arktos XII - Chronochasm Vaylantz
TAMA,Arianna the Labrynth Servant (V.1 - Ultra Rare)
BLCR,"Artemis, the Magistus Moon Maiden"
DUDE,Artifact Lancea
SDBT,Artifact Sanctum
TAMA,Archfiend's Ghastly Glitch
DUEA,Artifact Lancea
DUPO,Aromaseraphy Jasmine
MP22,Armed Dragon Thunder LV7
SHSP,Aratama
TAMA,Ariane the Labrynth Servant (V.1 - Ultra Rare)
DABL,"Arionpos, Serpent of the Ghoti"
MP22,Armed Dragon Thunder LV10
MAGO,Artifact Lancea
SHVA,Armor Ninjitsu Art of Alchemy
BLHR,Artifact Lancea
MP21,Arc Rebellion Xyz Dragon
MP22,Armed Dragon Thunder LV5
SDBT,Artifact Moralltach
MP22,Armed Dragon Thunder LV3
SDBT,Ash Blossom & Joyous Spring
SDCB,Ash Blossom & Joyous Spring
MP22,Ash Blossom & Joyous Spring
TAMA,Astrograph Sorcerer (V.1 - Rare)
DUDE,Ash Blossom & Joyous Spring
BROL,Astral Kuriboh
POTE,"Askaan, the Bicorned Ghoti"
BLAR,Assault Blackwing - Sohaya the Rain Storm
BROL,Astraltopia
LDS3,"Ascator, Dawnwalker (V.3 - Ultra Rare)"
POTE,Ashura King
SDSB,Ash Blossom & Joyous Spring
SHVI,Assault Blackwing - Chidori the Rain Sprinkling
LDS3,"Ascator, Dawnwalker (V.1 - Ultra Rare)"
TDIL,Assault Blackwing - Onimaru the Divine Thunder
DUPO,Ash Blossom & Joyous Spring
PEVO,Astrograph Sorcerer
MAGO,Ash Blossom & Joyous Spring (V.1 - Premium Gold Rare)
LEHD,Ascension Sky Dragon
MP16,Assault Blackwing - Raikiri the Rain Shower
OP14,Atlantean Dragoons
SDKS,A-to-Z-Dragon Buster Cannon
SDCS,Attachment Cybern
SDRE,Atlantean Marksman
PP02,Athena
SDRE,Atlantean Heavy Infantry
SDRE,Atlantean Dragoons
SR05,Athena
SOI,Attack Reflector Unit
REDU,Atlantean Attack Squad
RDS,A-Team: Trap Disposal Unit (V.1 - Rare)
DP04,Attack Reflector Unit
STOR,Atomic Scrap Dragon (V.1 - Ultra Rare)
PTDN,Atlantean Pikeman
SBCB,Attack the Moon!
PHSW,Attraffic Control
SDLS,Athena
STOR,Atomic Scrap Dragon (V.2 - Ultimate Rare)
5DS1,Atlantean Pikeman
ANPR,At One With the Sword
MP21,"Aussa the Earth Charmer, Immovable"
MGED,"Aussa the Earth Charmer, Immovable"
POTE,Aussa the Earth Channeler (V.1 - Ultra Rare)
IGAS,"Aussa the Earth Charmer, Immovable (V.1 - Rare)"
SDLI,"Aurkus, Lightsworn Druid"
CIBR,Autorokket Dragon
COTD,Auram the World Chalice Blademaster
LODT,"Aurkus, Lightsworn Druid"
SDRR,Autorokket Dragon
LCGX,"Aurkus, Lightsworn Druid"
SDCH,Aussa the Earth Charmer
MP18,Autorokket Dragon
RGBT,Automatic Laser
EXVC,Aurora Paragon
LTGY,Aurora Wing
TLM,Aussa the Earth Charmer
DR1,Autonomous Action Unit
WSUP,Augmented Heraldry
RYMP,"Aurkus, Lightsworn Druid"
POTE,Aussa the Earth Channeler (V.2 - Starlight Rare)
BLCR,Avendread Savior
RIRA,"Avida, Rebuilder of Worlds"
BLHR,Avendread Savior
TDGS,Avenging Knight Parshath (V.1 - Secret Rare)
AST,Avatar of The Pot
LC5D,Avenging Knight Parshath
TDGS,Avenging Knight Parshath (V.2 - Super Rare)
EOJ,Avalanching Aussa
NKRT,Avalon
PRIO,Avalon
MP15,Avalon
DR04,Avalanching Aussa
DR2,Avatar of The Pot
EP14,Avalon
EP18,Avendread Savior
SUB1,Avendread Savior
RIRA-JP,"Avida, Rebuilder of Worlds (V.1 - Super Rare)"
RIRA-JP,"Avida, Rebuilder of Worlds (V.2 - Secret Rare)"
RIRA-JP,"Avida, Rebuilder of Worlds (V.3 - Special)"
SDCB,Awakening of the Crystal Ultimates
SDSA,Awakening of the Sacred Beasts
SDCH,Awakening of the Possessed - Greater Inari Fire
SDCH,Awakening of the Possessed - Nefariouser Archfiend
MP21,Awakening of the Possessed - Gagigobyte
DUOV,Awakening of the Possessed
SDCH,Awakening of the Possessed
DLCS,Awakening of the Possessed - Gagigobyte
MP21,Awakening of the Possessed - Rasenryu
PHRA,Awakening of the Possessed - Gagigobyte
PHRA,Awakening of the Possessed - Rasenryu
LED7,A Wild Monster Appears!
HISU,Awakening of Nephthys
DLCS,Awakening of the Possessed - Rasenryu
MP15,A Wild Monster Appears!
SDBE,A Wingbeat of Giant Dragon
SR02,A Wingbeat of Giant Dragon
LOD,A Wingbeat of Giant Dragon (V.1 - Common)
SDRL,A Wingbeat of Giant Dragon
SECE,A Wild Monster Appears!
LART,Axe of Despair
EXVC,Axe Dragonute
SYE,Axe of Despair
OP08,Axe of Fools
LDK2,Axe Raider
STBL,Axe of Fools
YS14,Axe of Despair
SBAD,Axe Raider
BP01,Axe of Despair (V.1 - Common)
YS15,Axe Dragonute
5DS1,Axe Raider
DB1,Axe of Despair
SDDC,Axe Dragonute
DLDI,Axe of Despair
YS15,Axe of Despair
BP02,Axe of Fools (V.2 - Mosaic Rare)
DB2,Axe Raider
TP1,Axe Raider (V.1 - Super Rare)
RP01,Axe of Despair
BP02,Axe of Despair (V.1 - Common)
ANGU,Ayers Rock Sunrise
DRLG,Ayers Rock Sunrise
DLCS,Ayers Rock Sunrise
HA07,Aye-Iron
SP14,Aye-Iron (V.2 - Starfoil Rare)
BP03,Aye-Iron (V.1 - Rare)
BP03,Aye-Iron (V.2 - Shatterfoil)
BP02,Aye-Iron (V.1 - Common)
BP02,Aye-Iron (V.2 - Mosaic Rare)
BP03,Ayers Rock Sunrise (V.1 - Common)
DT07,Aye-Iron
SP14,Aye-Iron (V.1 - Common)
CPZ1,Aye-Iron
BP03,Ayers Rock Sunrise (V.2 - Shatterfoil)
DBAG,Ayers Rock Sunrise (V.1 - Common)
DBAG,Ayers Rock Sunrise (V.2 - Parallel Rare)
CPL1,Ayers Rock Sunrise
SDBE,Azure-Eyes Silver Dragon (V.1 - Ultra Rare)
LCKC,Azure-Eyes Silver Dragon
PTDN,"Aztekipede, the Worm Warrior"
LDK2,Azure-Eyes Silver Dragon
BP03,"Aztekipede, the Worm Warrior (V.1 - Rare)"
GP16,Azure-Eyes Silver Dragon (V.2 - Gold Secret Rare)
BP03,"Aztekipede, the Worm Warrior (V.2 - Shatterfoil)"
SDBE,Azure-Eyes Silver Dragon (V.2 - Oversized)
GP16,Azure-Eyes Silver Dragon (V.1 - Gold Rare)
DABL,Baku the Beast Ninja
PHHY,"Basiltrice, Familiar of the Evil Eye"
GFP2,"Baxia, Brightness of the Yang Zing"
KICO,"Baxia, Brightness of the Yang Zing"
OP18,Babycerasaurus
LED9,Bahamut Shark
MAGO,Barrier Statue of the Torrent
MGED,Babycerasaurus
LED8,Baronne de Fleur
NUMH,Battlecruiser Dianthus
MAGO,Barrier Statue of the Drought
BLCR,Battle of Sleeping Spirits
BLHR,Battlewasp - Pin the Bullseye
BLHR,Battlewasp - Sting the Poison
MAGO,Barrier Statue of the Abyss
MAGO,Barrier Statue of the Heavens
DABL,Bayerock Dragon
AC14,Battlecruiser Dianthus
BLHR,Battlewasp - Twinbow the Attacker
MAGO,Barrier Statue of the Inferno
LCKC,B-Buster Drake
SDKS,B-Buster Drake
LVP3,B-Buster Drake
SDKS-JP,B-Buster Drake
PHHY,"Beargram, Shelled Emperor of the Forest Crown"
MAMA,Beautunaful Princess
BROL,"Beatrice, Lady of the Eternal"
MP22,Beetrooper Scout Buggy
GEIM,Beat Cop from the Underworld (V.1 - Super Rare)
MP22,Beetrooper Scale Bomber
DIFO,Beyond the Pendulum
MP22,Beetrooper Sting Lancer
MP22,Beetrooper Armor Horn
MP22,Beetrooper Descent
MP19,"Beat, Bladesman Fur Hire"
LIOV,Benghalancer the Resurgent
MP22,Beetrooper Landing
TAMA,Bearblocker
MP22,Beetrooper Formation
MP22,Beetrooper Assault Roller
MP22,Beetrooper Fly & Sting
BODE,Beetrooper Landing
MP22,Beetrooper Light Flapper
SR13,"Beiige, Vanguard of Dark World"
PHHY,Big Welcome Labrynth
PHHY,Bio Insect Armor
MP22,Binary Blader
LDS2,"Bingo Machine, Go!!!"
LDS2,Bird of Roses
YGLD,Big Shield Gardna
LIOV,Birth of the Prominence Flame
SS03,Big Insect
MP22,Birth of the Prominence Flame
SR04,Big Evolution Pill
SDCL,Binary Sorceress
EXFO,Bitrooper
DP10,Big One Warrior
SD8,Birdface
LDK2,Big Shield Gardna
LIOV,Binary Blader
5DS1,Birthright
PGLD,Big Belly Knight
LON,Bio-Mage (V.1 - Common)
SGX1,Big Koala
DABL,"Blazing Cartesia, the Virtuous (V.1 - Secret Rare)"
BLCR,"Blackbeard, the Plunder Patroll Captain"
BLCR,Blackwing - Bora the Spear
BLCR,Blackwing - Gale the Whirlwind
BLCR,Blackwing - Blizzard the Far North
BLCR,Blackwing - Sirocco the Dawn
BLCR,Blackwing - Simoon the Poison Wind
MAMA,Black Luster Soldier - Soldier of Chaos (V.1 - Ultra Rare)
BLCR,Blackwing Full Armor Master
BLCR,Blackwing - Vayu the Emblem of Honor
DABL,Blackwing - Vata the Emblem of Wandering
DABL,Blackwing - Shamal the Sandstorm
MAMA,Blue-Eyes Abyss Dragon
DABL,Blackwing - Twin Shadow
DABL,Black Feather Whirlwind
DABL,Blackwing - Boreastorm the Wicked Wind
DABL,Blackwing - Chinook the Snow Blast
DABL,Blackwing - Sudri the Phantom Glimmer
GFP2,"Bluebeard, the Plunder Patroll Shipwright"
DABL,Black-Winged Assault Dragon
LED2,BM-4 Blast Spider
DP19,BM-4 Blast Spider
TAMA,Book of Eclipse
MP22,Book of Lunar Eclipse
DUDE,Book of Eclipse
SDCH,Book of Eclipse
SDBT,Bottomless Trap Hole
MAMA,Borrelsword Dragon
EGS1,Book of Moon
BLAR,Book of Moon
MGED,Book of Moon
BLCR,Borreload Savage Dragon (V.1 - Secret Rare)
HAC1,Book of Moon
LIOV,Book of Lunar Eclipse (V.1 - Secret Rare)
GEIM,Bottomless Trap Hole
SGX1,Book of Moon (V.1 - Common)
SGX1,Book of Moon (V.2 - Secret Rare)
BLRR,Bottomless Trap Hole
GFP2,Borrelend Dragon
LIOV,Boo-Boo Game
AP08,Book of Eclipse
SDRR,Borreload Furious Dragon
PHHY,Branded Befallen
MP22,Branded Opening
SDAZ,Branded Fusion
DABL,Branded Regained
DABL,Branded Beast
MP22,Branded in High Spirits
POTE,Branded Expulsion
DIFO,Branded Banishment
MP22,Branded in Red
LIOV,Branded in White
SDAZ,Branded Retribution
DAMA,Branded Opening
SDAZ,Branded Lost
POTE,Branded in Central Dogmatika
BODE,Branded in High Spirits
BODE,Branded in Red
DUDE,"Brionac, Dragon of the Ice Barrier"
PHRA,Brigrand the Glory Dragon
SR13,"Broww, Huntsman of Dark World"
SDAZ,Branded Sword
DUOV,Bujinki Ahashima
MAMA,Bururu @Ignister
GFTP,Buster Dragon
LED9,Buzzsaw Shark
SR04,Burial from a Different Dimension
MAGO,"Buster Blader, the Dragon Destroyer Swordsman"
BOSH,Buster Whelp of the Destruction Swordsman
LIOV,Bujin Torifune
LIOV,Bujin Mahitotsu
THSF,Burial from a Different Dimension
LTGY,"Burner, Dragon Ruler of Sparks"
CT11,Bujintei Susanowo
MAGO,"Buster Blader, the Destruction Swordmaster"
MP21,Buzzsaw Shark
IOC,Burning Algae (V.1 - Common)
ETCO,Buzzsaw Shark
KICO,Burning Soul
SR07,Burial from a Different Dimension
CT11,Bujingi Crane
BLLR,Bujintei Tsukuyomi
PHHY,Bystial Baldrake
DABL,Bystial Saronir
DABL,Bystial Magnamhut
DABL,Bystial Druiswurm
MP20,Bye Bye Damage
CHIM,Bye Bye Damage
SDDE,By Order of the Emperor
SR01,By Order of the Emperor
SS05,Byser Shock
CDIP,Byroad Sacrifice
DABL-JP,Bystial Magnamhut
DR1,Byser Shock
PHHY-JP,Bystial Baldrake
DABL-JP,Bystial Druiswurm
DABL-JP,Bystial Saronir
PGD,Byser Shock
CYAC-JP,Bystial Dis Pater (V.1 - Super Rare)
CYAC-JP,Bystial Dis Pater (V.3 - Starlight Rare)
19PP,Bye Bye Damage (V.3 - Secret Rare)
19PP,Bye Bye Damage (V.2 - Ultra Rare)
SDAZ,Called by the Grave
PHHY,Cassimolar
MAMA,Cat Shark
AMDE,Card Trooper (V.1 - Rare)
OP19,Caius the Shadow Monarch
DUDE,Called by the Grave
FLOD,Called by the Grave
GRCR,"Castel, the Skyblaster Musketeer"
POTE,Cartorhyn the Hidden Gem of the Seafront
SDDE,Caius the Shadow Monarch
SR13,Card Destruction
DUDE,"Castel, the Skyblaster Musketeer"
DUPO,Card of Demise
EGS1,Caligo Claw Crow
MP20,Capshell
SDBE,Cards of Consonance
MP19,Called by the Grave
CHIM,Cauldron of the Old Man
INCH,"Catoblepas, Familiar of the Evil Eye"
RIRA,Capshell
LCKC,C-Crush Wyvern
SDKS,C-Crush Wyvern
LVP3,C-Crush Wyvern
SDKS-JP,C-Crush Wyvern
SR13,"Ceruli, Guru of Dark World"
BROL,Centaur Mina
DABL,Celestial Apparatus Tesea
SDSA,Cerulean Skyfire
DUSA,Celestial Double Star Shaman
LART,"Celestia, Lightsworn Angel"
DUOV,Celestial Knightlord Parshath
BLLR,"Celestia, Lightsworn Angel"
MVP1,Celtic Guard of Noble Arms (V.3 - Secret Rare)
CYHO,Celestial Observatory
SDGU,"Ceruli, Guru of Dark World"
MP19,Celestial Observatory
PGL2,Ceasefire
PGLD,"Celestia, Lightsworn Angel"
EOJ,Celestial Transformation
SR05,Celestial Transformation
HISU,Cerulean Sacred Phoenix of Nephthys
SDLI,"Celestia, Lightsworn Angel"
YSD,Cemetery Bomb
SDLS,Celestial Transformation
PHHY,Chaos Mirage Dragon
PHHY,Chaos Witch
PHHY,Choju of the Trillion Hands
PHHY,Chaos Archfiend
PHHY,Chaos Beast
MAMA,Chaos Hunter
PHHY,Chaos Phantasm
BLCR,Chaos Space
MAMA,Change of Heart (V.1 - Ultra Rare)
BLCR,Chaos Valkyria
KICO,"Chaofeng, Phantom of the Yang Zing"
BLCR,Chaos Daedalus
GFP2,Chimeratech Fortress Dragon
TOCH,Chaos Emperor Dragon - Envoy of the End (V.1 - Rare)
GFP2,Chimeratech Megafleet Dragon
DUOV,Chaos Goddess
TOCH,Chaos Sorcerer
GFP2,Chimeratech Rampage Dragon
TOCH,Chaos Zone
SDAZ,Chaos Dragon Levianeer
PHHY,Circle of the Fairies
BROL,Cipher Interference
GFP2,Cipher Twin Raptor
BROL,Cipher Biplane
DUEA,"Cir, Malebranche of the Burning Abyss"
LED9,Citadel Whale
OP03,Cipher Soldier
PGL3,"Cir, Malebranche of the Burning Abyss"
DRL3,Cipher Wing
HISU,Circle of the Fire Kings
SDSB,Circle of the Fire Kings
RATE,Cipher Etranger
RATE,Cipher Spectrum
SDMM,Cipher Soldier
CP04,Cipher Soldier
MAGO,Circle of the Fire Kings
LDS1,Citadel Whale (V.1 - Ultra Rare)
DPDG,Cipher Mirror Knight
DPDG,Cipher Twin Raptor
INOV,Cipher Mirror Knight
BLCR,Clockwork Night
LED8,Clear Wing Synchro Dragon
KICO,Cloudcastle
DUDE,Clear Wing Fast Dragon
MP22,"Clavkiys, the Magikey Skyblaster"
DAMA,"Clavkiys, the Magikey Skyblaster"
BACH,Clear New World
MVP1,Clear Kuriboh (V.2 - Gold Rare)
MVP1,Clear Kuriboh (V.3 - Secret Rare)
GLAS,Cloudian - Smoke Ball
LEDD,Clear Wing Synchro Dragon
DANE,Cloudian Aerosol
EXFO,"Clara & Rushka, the Ventriloduo"
MVP1,Clear Kuriboh (V.1 - Ultra Rare)
LEHD,Clock Tower Prison
LODT,Cloudian - Storm Dragon
MP16,Clear Wing Synchro Dragon
SAST,Clock Lizard
GLAS,Cloudian - Turbulence
CYHO,Cluster Congester
PHHY,Core of Chaos
TAMA,Compulsory Evacuation Device
SDCB,"Contact ""C"""
TAMA,Cosmic Cyclone (V.1 - Rare)
PHHY,Couples of Aces
OP18,"Contact ""C"""
SDCB,Cosmic Cyclone
DUOV,Compulsory Evacuation Device
MGED,Conquistador of the Golden Land
DUDE,Cosmic Cyclone
AMDE,CONTAIN!
LEHD,Coral Dragon
OP04,Coach King Giantrainer
ETCO,Codebreaker Virus Swordsman
GFP2,Code Exporter
LED6,Cosmic Blazar Dragon
SDLS,Consecrated Light
LDS1,Cocoon of Ultra Evolution
5DS1,Colossal Fighter
GFP2,Code Generator
MP22,Crossout Designator
MP21,Crossout Designator
BLCR,Crystal Beast Sapphire Pegasus
MP21,Cross-Sheep
BLCR,Crystal Beast Ruby Carbuncle
BLCR,Crystal Beast Cobalt Eagle
BLCR,Crystal Beast Emerald Tortoise
BLCR,Crystal Beast Topaz Tiger
BLCR,Crystal Beast Amber Mammoth
BLCR,Crystal Beast Amethyst Cat
SDCB,Crystal Beast Rainbow Dragon
SDCB,Crystal Bond
POTE,Cross Keeper
SDCB,Crystal Miracle
LED9,Crystal Shark
GFP2,Crystron Halqifibrax
LCKC,Crush Card Virus (V.1 - Ultra Rare)
BLCR,Crystal Skull
GFP2,Crimson Knight Vampire Bram
SDCB,Crystal Brilliance
MGED,Cursed Eldland
GFP2,Cupid Pitch
DABL,Cucumber Horse
BLCR,Curse Reflection Doll
LDS3,Curse Necrofear
DIFO,"Curse of Dragon, the Magical Knight Dragon"
SGX2,Cursed Seal of the Forbidden Spell
LODT,Cup of Ace
DABL,Curse of Aramatir
NECH,Cursed Bamboo Sword
DUOV,Cubic Dharma
BODE,Cupid Pitch
DUOV,Cubic Ascension
DUOV,Cubic Causality
TOCH,Curse of Dragonfire
SESL,Cursed Eldland
SR06,Curse of Darkness
MVP1,Cubic Karma (V.1 - Ultra Rare)
EXFO,"Curious, the Lightsworn Dominion"
MP21,"Curse of Dragon, the Cursed Dragon"
LED9,CXyz N.As.Ch. Knight
NECH,CXyz Barian Hope (V.1 - Super Rare)
NUMH,CXyz Simon the Great Moral Leader
NUMH,CXyz Skypalace Babylon
MP15,CXyz Barian Hope
NUMH,CXyz Comics Hero Legend Arthur
NUMH,CXyz Mechquipped Djinn Angeneral
NUMH,CXyz Battleship Cherry Blossom
LTGY,CXyz Dark Fairy Cheer Girl
NUMH,CXyz Coach Lord Ultimatrainer
HC01,CXyz Barian Hope (V.2 - Secret Rare)
HC01,CXyz Barian Hope (V.1 - Parallel Rare)
NECH,CXyz Barian Hope (V.2 - Super Rare)
HC01,CXyz Barian Hope (V.3 - Ultimate Rare)
CPZ1,CXyz Battleship Cherry Blossom (V.1 - Super Rare)
