Deck,Title,LowerPrice,DateTime
SGX2,A Hero Lives (V.1 - Common),"0,02 €",2023-03-02
SDHS,A Hero Lives,"0,02 €",2023-03-02
SGX1,A Hero Emerges,"0,02 €",2023-03-02
DP1,A Hero Emerges,"0,02 €",2023-03-02
DUSA,A Hero Lives,"0,75 €",2023-03-02
GENF,A Hero Lives (V.1 - Ultra Rare),"1,00 €",2023-03-02
IOC,A Hero Emerges (V.1 - Common),"0,02 €",2023-03-02
YS14,A Hero Emerges,"0,02 €",2023-03-02
GENF,A Hero Lives (V.2 - Ultimate Rare),"32,00 €",2023-03-02
DR2,A Hero Emerges,"0,02 €",2023-03-02
BP02,A Hero Emerges (V.2 - Mosaic Rare),"0,10 €",2023-03-02
IOC,A Hero Emerges (V.2 - Common),"0,05 €",2023-03-02
DP23,A Hero Lives,"0,05 €",2023-03-02
20AP-2,A Hero Lives,"0,30 €",2023-03-02
MAMA,Aileron,"0,02 €",2023-03-02
MP22,A.I. Meet You,"0,02 €",2023-03-02
GEIM,"Aiwass, the Magistus Spell Spirit","0,02 €",2023-03-02
BROL,A.I.'s Show,"0,02 €",2023-03-02
LIOV,A.I. Meet You,"0,02 €",2023-03-02
MP21,A.I.dle Reborn,"0,02 €",2023-03-02
SR05,Airknight Parshath,"0,02 €",2023-03-02
MP21,A.I. Contact,"0,02 €",2023-03-02
IGAS,A.I.dle Reborn,"0,02 €",2023-03-02
LIOV,A.I. Challenge You,"0,02 €",2023-03-02
MP21,A.I. Shadow,"0,02 €",2023-03-02
MP21,A.I. Love Fusion,"0,02 €",2023-03-02
SBCB,Airknight Parshath (V.2 - Secret Rare),"1,50 €",2023-03-02
IGAS,A.I.'s Ritual,"0,02 €",2023-03-02
ETCO,A.I. Contact,"0,02 €",2023-03-02
ETCO,A.I.Q,"0,02 €",2023-03-02
IGAS,A.I. Shadow,"0,02 €",2023-03-02
SBCB,Airknight Parshath (V.1 - Common),"0,02 €",2023-03-02
MP21,A.I.'s Ritual,"0,02 €",2023-03-02
MP21,A.I.Q,"0,02 €",2023-03-02
SHVA,Akashic Magician,"0,10 €",2023-03-02
CIBR,Akashic Magician,"3,00 €",2023-03-02
TSHD,"Akz, the Pumer","0,02 €",2023-03-02
CIBR-JP,Akashic Magician (V.2 - Super Rare),"5,00 €",2023-03-02
CIBR-JP,Akashic Magician (V.1 - Super Rare),"2,50 €",2023-03-02
MP22,Albion the Branded Dragon,"0,24 €",2023-03-02
GFP2,Aluber the Jester of Despia,"4,50 €",2023-03-02
BROL,Allure of Darkness,"1,00 €",2023-03-02
MP22,Aluber the Jester of Despia,"5,50 €",2023-03-02
DAMA,Albion the Shrouded Dragon,"0,15 €",2023-03-02
MAMA,A Legendary Ocean,"0,02 €",2023-03-02
SDAZ,Albion the Branded Dragon,"0,02 €",2023-03-02
AMDE,ALERT!,"1,50 €",2023-03-02
DIFO,Alghoul Mazera,"0,02 €",2023-03-02
DUDE,Ally of Justice Catastor,"0,02 €",2023-03-02
DIFO,Alba-Lenatus the Abyss Dragon (V.1 - Secret Rare),"14,00 €",2023-03-02
MP21,"Alpha, the Master of Beasts","2,74 €",2023-03-02
SDSH,Allure of Darkness,"0,80 €",2023-03-02
POTE,Albaz the Ashen,"0,02 €",2023-03-02
MP22,Allvain the Essence of Vanity,"0,02 €",2023-03-02
BACH,"Alice, Lady of Lament","0,02 €",2023-03-02
OP20,Aluber the Jester of Despia,"32,99 €",2023-03-02
DAMA,Aluber the Jester of Despia,"6,50 €",2023-03-02
BROL,Altergeist Pookuery,"0,09 €",2023-03-02
BROL,Altergeist Fijialert,"0,02 €",2023-03-02
FIGA,Amorphage Goliath,"0,02 €",2023-03-02
BLCR,Amazoness Hot Spring,"0,02 €",2023-03-02
SHVI,Amorphage Goliath,"0,02 €",2023-03-02
BLCR,Amazoness Hall,"0,02 €",2023-03-02
DABL,Amazoness Spiritualist,"0,02 €",2023-03-02
DABL,Amazoness War Chief,"0,02 €",2023-03-02
DABL,Amazoness Augusta,"0,02 €",2023-03-02
DABL,Amazoness Silver Sword Master,"0,02 €",2023-03-02
DABL,Amazoness Secret Arts,"0,02 €",2023-03-02
DABL,Amazoness Golden Whip Master,"0,02 €",2023-03-02
DABL,Amazoness Pet Liger King,"0,02 €",2023-03-02
CIBR,Amano-Iwato,"0,02 €",2023-03-02
LDS1,Amazoness Princess,"0,02 €",2023-03-02
LIOV,Amazement Attendant Comica,"0,09 €",2023-03-02
CIBR,Amazoness Pet Liger,"0,02 €",2023-03-02
CIBR,Amazoness Empress,"0,02 €",2023-03-02
LIOV,Amaze Attraction Horror House,"0,15 €",2023-03-02
LIOV,Amaze Attraction Cyclo-Coaster,"0,10 €",2023-03-02
POTE,Amaze Attraction Thrill Train,"0,02 €",2023-03-02
LIOV,Amazement Family Faces,"0,02 €",2023-03-02
TAMA,Anti-Spell Fragrance (V.1 - Rare),"0,02 €",2023-03-02
MAMA,Anti-Spell Fragrance,"0,04 €",2023-03-02
MP21,Animadorned Archosaur,"1,20 €",2023-03-02
LCKC,Ancient Fairy Dragon,"0,79 €",2023-03-02
MGED,Ancient Gear Fusion,"0,40 €",2023-03-02
ROTD,Ancient Warriors Oath - Double Dragon Lords,"5,90 €",2023-03-02
OP20,Anchamoufrite,"0,02 €",2023-03-02
CT06,Ancient Fairy Dragon,"1,00 €",2023-03-02
EGO1,Angel O1,"0,04 €",2023-03-02
DUDE,Anti-Spell Fragrance,"0,05 €",2023-03-02
DUOV,Ancient Gear Ballista,"2,49 €",2023-03-02
DIFO,Ancient Warriors Saga - Deception and Betrayal,"0,02 €",2023-03-02
MAGO,Anti-Magic Arrows,"0,05 €",2023-03-02
DIFO,Ancient Warriors - Savage Don Ying,"0,02 €",2023-03-02
BLVO,Ancient Warriors - Rebellious Lu Feng,"0,02 €",2023-03-02
SDCB,Ancient City - Rainbow Ruins,"0,02 €",2023-03-02
SGX1,Ancient Gear Golem (V.2 - Secret Rare),"0,84 €",2023-03-02
MP22,Anchamoufrite,"0,02 €",2023-03-02
RATE,Ancient Gear Hunting Hound,"0,10 €",2023-03-02
OP20,And the Band Played On,"0,02 €",2023-03-02
PHHY,Apophis the Swamp Deity,"0,02 €",2023-03-02
MAMA,"Apollousa, Bow of the Goddess","6,00 €",2023-03-02
OP14,Appointer of the Red Lotus,"0,70 €",2023-03-02
SDFC,Appointer of the Red Lotus,"0,02 €",2023-03-02
LDS3,Apprentice Illusion Magician (V.2 - Ultra Rare),"0,53 €",2023-03-02
LDS3,Apprentice Illusion Magician (V.1 - Ultra Rare),"0,70 €",2023-03-02
BROL,Appliancer Propelion,"0,02 €",2023-03-02
LDS3,Apprentice Illusion Magician (V.3 - Ultra Rare),"0,45 €",2023-03-02
MAGO,"Apollousa, Bow of the Goddess","5,99 €",2023-03-02
BROL,Appliancer Conversion,"0,02 €",2023-03-02
MP22,Apex Predation,"0,02 €",2023-03-02
MP20,"Apollousa, Bow of the Goddess","7,50 €",2023-03-02
SGX1,Apprentice Magician (V.2 - Secret Rare),"0,22 €",2023-03-02
BLAR,Appliancer Breakerbuncle,"0,02 €",2023-03-02
MYFI,Appropriate,"0,02 €",2023-03-02
MVP1,Apple Magician Girl (V.1 - Ultra Rare),"0,02 €",2023-03-02
SR08,Apprentice Magician,"0,02 €",2023-03-02
BLAR,Appliancer Reuse,"0,02 €",2023-03-02
BLAR,Appliancer Socketroll,"0,02 €",2023-03-02
LEDD,Apprentice Illusion Magician,"0,40 €",2023-03-02
HA06,Aquamirror Illusion,"4,95 €",2023-03-02
SDFC,Aqua Spirit,"0,02 €",2023-03-02
DT06,Aquamirror Illusion,"11,69 €",2023-03-02
THSF,Aquamirror Cycle,"0,02 €",2023-03-02
DRL2,Aquarium Stage,"0,02 €",2023-03-02
GAOV,Aquamirror Cycle,"0,02 €",2023-03-02
HA05,Aquamirror Meditation,"0,02 €",2023-03-02
ORCS,Aqua Armor Ninja,"0,02 €",2023-03-02
DLCS,Aquarium Stage,"0,02 €",2023-03-02
DRL2,Aquarium Set,"0,02 €",2023-03-02
LON,Aqua Spirit (V.1 - Common),"0,02 €",2023-03-02
DRL2,Aquaactress Guppy,"0,02 €",2023-03-02
DLCS,Aquarium Set,"0,02 €",2023-03-02
DRL2,Aquaactress Tetra,"0,02 €",2023-03-02
TAEV,Aquarian Alessa (V.1 - Super Rare),"0,02 €",2023-03-02
DLCS,Aquarium Lighting,"0,02 €",2023-03-02
DRL2,Aquaactress Arowana,"0,02 €",2023-03-02
SD8,Aqua Chorus,"0,02 €",2023-03-02
SBCB,Aqua Madoor,"0,02 €",2023-03-02
DRL2,Aqua Story - Urashima,"0,02 €",2023-03-02
PHHY,Arktos XII - Chronochasm Vaylantz,"0,02 €",2023-03-02
TAMA,Arianna the Labrynth Servant (V.1 - Ultra Rare),"18,00 €",2023-03-02
BLCR,"Artemis, the Magistus Moon Maiden","0,30 €",2023-03-02
DUDE,Artifact Lancea,"0,25 €",2023-03-02
TAMA,Archfiend's Ghastly Glitch,"0,02 €",2023-03-02
MP22,Armed Dragon Thunder LV7,"0,02 €",2023-03-02
SDBT,Artifact Sanctum,"0,02 €",2023-03-02
DUEA,Artifact Lancea,"0,05 €",2023-03-02
DABL,"Arionpos, Serpent of the Ghoti","0,05 €",2023-03-02
MP22,Armed Dragon Thunder LV10,"0,02 €",2023-03-02
DUPO,Aromaseraphy Jasmine,"4,00 €",2023-03-02
SHSP,Aratama,"0,02 €",2023-03-02
TAMA,Ariane the Labrynth Servant (V.1 - Ultra Rare),"2,00 €",2023-03-02
BLHR,Artifact Lancea,"2,33 €",2023-03-02
SHVA,Armor Ninjitsu Art of Alchemy,"0,02 €",2023-03-02
MAGO,Artifact Lancea,"0,50 €",2023-03-02
MP22,Armed Dragon Thunder LV3,"0,02 €",2023-03-02
MP22,Armed Dragon Thunder LV5,"0,02 €",2023-03-02
MP21,Arc Rebellion Xyz Dragon,"0,05 €",2023-03-02
HAC1,Armory Arm,"0,20 €",2023-03-02
SDBT,Ash Blossom & Joyous Spring,"1,90 €",2023-03-02
SDCB,Ash Blossom & Joyous Spring,"2,00 €",2023-03-02
MP22,Ash Blossom & Joyous Spring,"6,89 €",2023-03-02
TAMA,Astrograph Sorcerer (V.1 - Rare),"0,02 €",2023-03-02
BROL,Astral Kuriboh,"4,90 €",2023-03-02
DUDE,Ash Blossom & Joyous Spring,"3,00 €",2023-03-02
POTE,"Askaan, the Bicorned Ghoti","0,02 €",2023-03-02
BROL,Astraltopia,"0,02 €",2023-03-02
BLAR,Assault Blackwing - Sohaya the Rain Storm,"0,02 €",2023-03-02
POTE,Ashura King,"0,79 €",2023-03-02
LDS3,"Ascator, Dawnwalker (V.3 - Ultra Rare)","0,10 €",2023-03-02
SDSB,Ash Blossom & Joyous Spring,"2,30 €",2023-03-02
LDS3,"Ascator, Dawnwalker (V.1 - Ultra Rare)","0,08 €",2023-03-02
DUPO,Ash Blossom & Joyous Spring,"4,00 €",2023-03-02
SHVI,Assault Blackwing - Chidori the Rain Sprinkling,"0,20 €",2023-03-02
MAGO,Ash Blossom & Joyous Spring (V.1 - Premium Gold Rare),"6,50 €",2023-03-02
TDIL,Assault Blackwing - Onimaru the Divine Thunder,"0,05 €",2023-03-02
LEHD,Ascension Sky Dragon,"0,02 €",2023-03-02
PEVO,Astrograph Sorcerer,"0,49 €",2023-03-02
LDS3,"Ascator, Dawnwalker (V.2 - Ultra Rare)","0,17 €",2023-03-02
OP14,Atlantean Dragoons,"0,05 €",2023-03-02
SDCS,Attachment Cybern,"0,02 €",2023-03-02
SDKS,A-to-Z-Dragon Buster Cannon,"0,02 €",2023-03-02
SDRE,Atlantean Marksman,"0,02 €",2023-03-02
SDRE,Atlantean Heavy Infantry,"0,02 €",2023-03-02
PP02,Athena,"0,02 €",2023-03-02
SDRE,Atlantean Dragoons,"0,02 €",2023-03-02
SR05,Athena,"0,02 €",2023-03-02
SOI,Attack Reflector Unit,"0,02 €",2023-03-02
REDU,Atlantean Attack Squad,"0,02 €",2023-03-02
DP04,Attack Reflector Unit,"0,02 €",2023-03-02
RDS,A-Team: Trap Disposal Unit (V.1 - Rare),"0,02 €",2023-03-02
SDLS,Athena,"0,02 €",2023-03-02
STOR,Atomic Scrap Dragon (V.1 - Ultra Rare),"0,30 €",2023-03-02
PTDN,Atlantean Pikeman,"0,02 €",2023-03-02
PHSW,Attraffic Control,"0,02 €",2023-03-02
STOR,Atomic Scrap Dragon (V.2 - Ultimate Rare),"2,39 €",2023-03-02
ANPR,At One With the Sword,"0,02 €",2023-03-02
5DS1,Atlantean Pikeman,"0,02 €",2023-03-02
SDMY,Attack the Moon!,"0,02 €",2023-03-02
MP21,"Aussa the Earth Charmer, Immovable","0,02 €",2023-03-02
MGED,"Aussa the Earth Charmer, Immovable","0,02 €",2023-03-02
POTE,Aussa the Earth Channeler (V.1 - Ultra Rare),"0,02 €",2023-03-02
IGAS,"Aussa the Earth Charmer, Immovable (V.1 - Rare)","0,07 €",2023-03-02
SDLI,"Aurkus, Lightsworn Druid","0,02 €",2023-03-02
COTD,Auram the World Chalice Blademaster,"0,02 €",2023-03-02
CIBR,Autorokket Dragon,"0,02 €",2023-03-02
LODT,"Aurkus, Lightsworn Druid","0,05 €",2023-03-02
LCGX,"Aurkus, Lightsworn Druid","0,24 €",2023-03-02
SDRR,Autorokket Dragon,"0,02 €",2023-03-02
SDCH,Aussa the Earth Charmer,"0,02 €",2023-03-02
MP18,Autorokket Dragon,"0,02 €",2023-03-02
RGBT,Automatic Laser,"0,02 €",2023-03-02
EXVC,Aurora Paragon,"0,02 €",2023-03-02
LTGY,Aurora Wing,"0,02 €",2023-03-02
RYMP,"Aurkus, Lightsworn Druid","0,02 €",2023-03-02
TLM,Aussa the Earth Charmer,"0,02 €",2023-03-02
DR1,Autonomous Action Unit,"0,02 €",2023-03-02
WSUP,Augmented Heraldry,"0,02 €",2023-03-02
POTE,Aussa the Earth Channeler (V.2 - Starlight Rare),"53,00 €",2023-03-02
BLCR,Avendread Savior,"0,02 €",2023-03-02
RIRA,"Avida, Rebuilder of Worlds","0,02 €",2023-03-02
BLHR,Avendread Savior,"0,90 €",2023-03-02
TDGS,Avenging Knight Parshath (V.1 - Secret Rare),"6,30 €",2023-03-02
AST,Avatar of The Pot,"0,02 €",2023-03-02
LC5D,Avenging Knight Parshath,"3,90 €",2023-03-02
TDGS,Avenging Knight Parshath (V.2 - Super Rare),"3,00 €",2023-03-02
NKRT,Avalon,"0,02 €",2023-03-02
EOJ,Avalanching Aussa,"0,02 €",2023-03-02
PRIO,Avalon,"0,02 €",2023-03-02
MP15,Avalon,"0,05 €",2023-03-02
DR04,Avalanching Aussa,"0,15 €",2023-03-02
DR2,Avatar of The Pot,"0,02 €",2023-03-02
EP14,Avalon,,2023-03-02
EP18,Avendread Savior,"30,00 €",2023-03-02
SUB1,Avendread Savior,"1,90 €",2023-03-02
RIRA-JP,"Avida, Rebuilder of Worlds (V.1 - Super Rare)",,2023-03-02
RIRA-JP,"Avida, Rebuilder of Worlds (V.2 - Secret Rare)","8,00 €",2023-03-02
RIRA-JP,"Avida, Rebuilder of Worlds (V.3 - Special)",,2023-03-02
SDCB,Awakening of the Crystal Ultimates,"0,02 €",2023-03-02
SDSA,Awakening of the Sacred Beasts,"0,49 €",2023-03-02
SDCH,Awakening of the Possessed - Greater Inari Fire,"0,02 €",2023-03-02
SDCH,Awakening of the Possessed - Nefariouser Archfiend,"0,02 €",2023-03-02
DUOV,Awakening of the Possessed,"0,02 €",2023-03-02
PHRA,Awakening of the Possessed - Gagigobyte,"0,02 €",2023-03-02
HISU,Awakening of Nephthys,"0,02 €",2023-03-02
MP21,Awakening of the Possessed - Gagigobyte,"0,02 €",2023-03-02
MP21,Awakening of the Possessed - Rasenryu,"0,02 €",2023-03-02
DLCS,Awakening of the Possessed - Gagigobyte,"0,15 €",2023-03-02
LED7,A Wild Monster Appears!,"0,02 €",2023-03-02
PHRA,Awakening of the Possessed - Rasenryu,"0,02 €",2023-03-02
SDCH,Awakening of the Possessed,"0,02 €",2023-03-02
DLCS,Awakening of the Possessed - Rasenryu,"0,20 €",2023-03-02
MP15,A Wild Monster Appears!,"0,10 €",2023-03-02
SDBE,A Wingbeat of Giant Dragon,"0,02 €",2023-03-02
LOD,A Wingbeat of Giant Dragon (V.1 - Common),"0,02 €",2023-03-02
SR02,A Wingbeat of Giant Dragon,"0,02 €",2023-03-02
SDRL,A Wingbeat of Giant Dragon,"0,02 €",2023-03-02
SECE,A Wild Monster Appears!,"0,08 €",2023-03-02
LART,Axe of Despair,"0,60 €",2023-03-02
OP08,Axe of Fools,"0,02 €",2023-03-02
SYE,Axe of Despair,"0,02 €",2023-03-02
EXVC,Axe Dragonute,"0,02 €",2023-03-02
SBAD,Axe Raider,"0,02 €",2023-03-02
STBL,Axe of Fools,"0,02 €",2023-03-02
LDK2,Axe Raider,"0,02 €",2023-03-02
YS14,Axe of Despair,"0,02 €",2023-03-02
BP01,Axe of Despair (V.1 - Common),"0,02 €",2023-03-02
YS15,Axe Dragonute,"0,02 €",2023-03-02
DB1,Axe of Despair,"0,09 €",2023-03-02
SDDC,Axe Dragonute,"0,02 €",2023-03-02
5DS1,Axe Raider,"0,02 €",2023-03-02
DLDI,Axe of Despair,"0,09 €",2023-03-02
YS15,Axe of Despair,"0,02 €",2023-03-02
LCJW,Axe Raider,"0,07 €",2023-03-02
BP02,Axe of Fools (V.2 - Mosaic Rare),"0,02 €",2023-03-02
TP1,Axe Raider (V.1 - Super Rare),"58,00 €",2023-03-02
RP01,Axe of Despair,"0,02 €",2023-03-02
BP02,Axe of Despair (V.1 - Common),"0,02 €",2023-03-02
ANGU,Ayers Rock Sunrise,"0,02 €",2023-03-02
DRLG,Ayers Rock Sunrise,"0,02 €",2023-03-02
DLCS,Ayers Rock Sunrise,"0,02 €",2023-03-02
HA07,Aye-Iron,"0,02 €",2023-03-02
SP14,Aye-Iron (V.2 - Starfoil Rare),"0,02 €",2023-03-02
BP03,Aye-Iron (V.2 - Shatterfoil),"0,05 €",2023-03-02
BP03,Ayers Rock Sunrise (V.1 - Common),"0,02 €",2023-03-02
BP03,Aye-Iron (V.1 - Rare),"0,02 €",2023-03-02
BP03,Ayers Rock Sunrise (V.2 - Shatterfoil),"0,10 €",2023-03-02
DT07,Aye-Iron,"0,70 €",2023-03-02
BP02,Aye-Iron (V.1 - Common),"0,02 €",2023-03-02
BP02,Aye-Iron (V.2 - Mosaic Rare),"0,02 €",2023-03-02
SP14,Aye-Iron (V.1 - Common),"0,02 €",2023-03-02
CPZ1,Aye-Iron,,2023-03-02
DBAG,Ayers Rock Sunrise (V.1 - Common),,2023-03-02
DBAG,Ayers Rock Sunrise (V.2 - Parallel Rare),,2023-03-02
CPL1,Ayers Rock Sunrise,,2023-03-02
SDBE,Azure-Eyes Silver Dragon (V.1 - Ultra Rare),"0,02 €",2023-03-02
LCKC,Azure-Eyes Silver Dragon,"0,65 €",2023-03-02
PTDN,"Aztekipede, the Worm Warrior","0,09 €",2023-03-02
BP03,"Aztekipede, the Worm Warrior (V.1 - Rare)","0,03 €",2023-03-02
LDK2,Azure-Eyes Silver Dragon,"0,02 €",2023-03-02
GP16,Azure-Eyes Silver Dragon (V.2 - Gold Secret Rare),"9,95 €",2023-03-02
BP03,"Aztekipede, the Worm Warrior (V.2 - Shatterfoil)","1,50 €",2023-03-02
SDBE,Azure-Eyes Silver Dragon (V.2 - Oversized),"7,00 €",2023-03-02
GP16,Azure-Eyes Silver Dragon (V.1 - Gold Rare),"4,95 €",2023-03-02
DABL,Baku the Beast Ninja,"0,02 €",2023-03-02
PHHY,"Basiltrice, Familiar of the Evil Eye","0,02 €",2023-03-02
GFP2,"Baxia, Brightness of the Yang Zing","0,02 €",2023-03-02
KICO,"Baxia, Brightness of the Yang Zing","0,02 €",2023-03-02
OP18,Babycerasaurus,"0,02 €",2023-03-02
LED9,Bahamut Shark,"0,02 €",2023-03-02
MAGO,Barrier Statue of the Torrent,"0,04 €",2023-03-02
LED8,Baronne de Fleur,"46,00 €",2023-03-02
MGED,Babycerasaurus,"0,02 €",2023-03-02
MAGO,Barrier Statue of the Drought,"0,03 €",2023-03-02
BLCR,Battle of Sleeping Spirits,"0,02 €",2023-03-02
NUMH,Battlecruiser Dianthus,"0,02 €",2023-03-02
